date,city,congestion,diffRatio,state,congestion-norm
2019-12-30,Kuala Lumpur,23,-0.1481481481481481,Kuala Lumpur,-6.336996336996335
2019-12-31,Kuala Lumpur,30,-0.032258064516129,Kuala Lumpur,3.663003663003665
2020-01-01,Kuala Lumpur,10,-0.6774193548387096,Kuala Lumpur,-24.908424908424905
2020-01-02,Kuala Lumpur,22,-0.3333333333333333,Kuala Lumpur,-7.765567765567763
2020-01-03,Kuala Lumpur,28,-0.2631578947368421,Kuala Lumpur,0.805860805860808
2020-01-04,Kuala Lumpur,18,-0.28,Kuala Lumpur,-13.479853479853476
2020-01-05,Kuala Lumpur,8,-0.3333333333333333,Kuala Lumpur,-27.765567765567763
2020-01-06,Kuala Lumpur,36,0.3333333333333333,Kuala Lumpur,12.234432234432237
2020-01-07,Kuala Lumpur,37,0.1935483870967742,Kuala Lumpur,13.663003663003664
2020-01-08,Kuala Lumpur,37,0.1935483870967742,Kuala Lumpur,13.663003663003664
2020-01-09,Kuala Lumpur,39,0.1818181818181818,Kuala Lumpur,16.520146520146522
2020-01-10,Kuala Lumpur,48,0.2631578947368421,Kuala Lumpur,29.37728937728938
2020-01-11,Kuala Lumpur,25,0.0,Kuala Lumpur,-3.4798534798534777
2020-01-12,Kuala Lumpur,12,0.0,Kuala Lumpur,-22.051282051282048
2020-01-13,Kuala Lumpur,42,0.5555555555555556,Kuala Lumpur,20.805860805860807
2020-01-14,Kuala Lumpur,40,0.2903225806451613,Kuala Lumpur,17.948717948717952
2020-01-15,Kuala Lumpur,40,0.2903225806451613,Kuala Lumpur,17.948717948717952
2020-01-16,Kuala Lumpur,46,0.3939393939393939,Kuala Lumpur,26.520146520146522
2020-01-17,Kuala Lumpur,49,0.2894736842105263,Kuala Lumpur,30.805860805860807
2020-01-18,Kuala Lumpur,28,0.12,Kuala Lumpur,0.805860805860808
2020-01-19,Kuala Lumpur,15,0.25,Kuala Lumpur,-17.765567765567763
2020-01-20,Kuala Lumpur,46,0.7037037037037037,Kuala Lumpur,26.520146520146522
2020-01-21,Kuala Lumpur,44,0.4193548387096774,Kuala Lumpur,23.663003663003664
2020-01-22,Kuala Lumpur,46,0.4838709677419355,Kuala Lumpur,26.520146520146522
2020-01-23,Kuala Lumpur,25,-0.2424242424242424,Kuala Lumpur,-3.4798534798534777
2020-01-24,Kuala Lumpur,11,-0.7105263157894737,Kuala Lumpur,-23.479853479853478
2020-01-25,Kuala Lumpur,8,-0.68,Kuala Lumpur,-27.765567765567763
2020-01-26,Kuala Lumpur,4,-0.6666666666666666,Kuala Lumpur,-33.479853479853475
2020-01-27,Kuala Lumpur,5,-0.8148148148148148,Kuala Lumpur,-32.05128205128205
2020-01-28,Kuala Lumpur,12,-0.6129032258064516,Kuala Lumpur,-22.051282051282048
2020-01-29,Kuala Lumpur,22,-0.2903225806451613,Kuala Lumpur,-7.765567765567763
2020-01-30,Kuala Lumpur,22,-0.3333333333333333,Kuala Lumpur,-7.765567765567763
2020-01-31,Kuala Lumpur,27,-0.2894736842105263,Kuala Lumpur,-0.6227106227106205
2020-02-01,Kuala Lumpur,14,-0.44,Kuala Lumpur,-19.194139194139193
2020-02-02,Kuala Lumpur,10,-0.1666666666666666,Kuala Lumpur,-24.908424908424905
2020-02-03,Kuala Lumpur,32,0.1851851851851852,Kuala Lumpur,6.520146520146522
